Calculation summary:						
						
Room ID	Room name	Analysis calculation				
0C000003	+0 Stairs	X	-			
0C000009	+0 Stairs	X	-			
0C000005	+0 Stairs	X	-			
0C000008	+0 Stairs	X	-			
0C000007	+0 Stairs	X	-			
0L000007	+0 Technical room	X	-			
0_00001D	+0 Vestibule	X	-			
0_000013	+0 Vestibule	X	-			
0_00001E	+0 Vestibule	X	-			
0_00001F	+0 Vestibule	X	-			
0_00001C	+0 Vestibule	X	-			
0_00001B	+0 Vestibule	X	-			
0_000021	+0 Void	X	-			
0_000006	+0 Void	X	-			
0_000012	+0 Void	X	-			
0_000010	+0 Void	X	-			
0_000022	+0 Void	X	-			
0_000020	+0 Void	X	-			
0_00000A	+0 Void	X	-			
0_000014	+0 Void	X	-			
0V000002	+0 Void	X	-			
0_000015	+0 Void	X	-			
0_00000F	+0 Void	X	-			
0_000005	+0 Void	X	-			
0V000001	+0 Void	X	-			
0_000002	+0 Void	X	-			
0_000004	+0 Void	X	-			
0_000008	+0 Void	X	-			
0V000000	+0 Void	X	-			
0_000023	+0 Void	X	-			
0X000037	+1 Bathroom	X	-			
0X00002A	+1 Bathroom	X	-			
0X000075	+1 Bathroom	X	-			
0X00001E	+1 Bathroom	X	-			
0X000077	+1 Bathroom	X	-			
0X0000AB	+1 Bathroom	X	-			
0X0000AA	+1 Bathroom	X	-			
0X00003A	+1 Bathroom	X	-			
0X00002F	+1 Bathroom	X	-			
0X000042	+1 Bathroom	X	-			
0X00001D	+1 Bathroom	X	-			
0X00002D	+1 Bathroom	X	-			
0X000063	+1 Bathroom	X	-			
0X000070	+1 Bathroom	X	-			
1_00002D	+1 Bathroom	X	-			
0X000046	+1 Bathroom	X	-			
0X000007	+1 Bathroom	X	-			
1B00006B	+1 Bathroom	X	-			
0X00008B	+1 Bathroom	X	-			
1_000029	+1 Bathroom	X	-			
1_00002A	+1 Bathroom	X	-			
0X0000BA	+1 Bathroom	X	-			
0X000058	+1 Bathroom	X	-			
1_000027	+1 Bathroom	X	-			
0X00006B	+1 Bathroom	X	-			
0X0000D4	+1 Bathroom	X	-			
0X000051	+1 Bathroom	X	-			
0X00005B	+1 Bathroom	X	-			
1_00002B	+1 Bathroom	X	-			
0X00009E	+1 Bathroom	X	-			
0X00007C	+1 Bathroom	X	-			
0X000091	+1 Bathroom	X	-			
0X00004C	+1 Bathroom	X	-			
0X000098	+1 Bathroom	X	-			
0X000061	+1 Bathroom	X	-			
0X000050	+1 Bathroom	X	-			
0X00008E	+1 Bathroom	X	-			
0X000025	+1 Bathroom	X	-			
0X000068	+1 Bathroom	X	-			
0X000082	+1 Bathroom	X	-			
0X000041	+1 Bathroom	X	-			
0X0000BF	+1 Bathroom	X	-			
0X000057	+1 Bathroom	X	-			
0X000018	+1 Bathroom	X	-			
0X000080	+1 Bathroom	X	-			
0X000088	+1 Bathroom	X	-			
0X0000C0	+1 Bathroom	X	-			
1B000067	+1 Bedroom	X	-			
0X00002C	+1 Bedroom	X	-			
0X000090	+1 Bedroom	X	-			
0X000043	+1 Bedroom	X	-			
0X00009D	+1 Bedroom	X	-			
0X000072	+1 Bedroom	X	-			
0X000084	+1 Bedroom	X	-			
1_000028	+1 Bedroom	X	-			
1_000022	+1 Bedroom	X	-			
1_00001C	+1 Bedroom	X	-			
0X0000B6	+1 Bedroom	X	-			
0X0000AD	+1 Bedroom	X	-			
0X000028	+1 Bedroom	X	-			
0X000029	+1 Bedroom	X	-			
0X00002E	+1 Bedroom	X	-			
0X000030	+1 Bedroom	X	-			
0X000034	+1 Bedroom	X	-			
0X000039	+1 Bedroom	X	-			
0X0000A7	+1 Bedroom	X	-			
0X000031	+1 Bedroom	X	-			
0X000036	+1 Bedroom	X	-			
0X00003D	+1 Bedroom	X	-			
0X00003F	+1 Bedroom	X	-			
0X000001	+1 Bedroom	X	-			
0X0000A3	+1 Bedroom	X	-			
0X00009C	+1 Bedroom	X	-			
1_00001B	+1 Bedroom	X	-			
0X000048	+1 Bedroom	X	-			
0X00004D	+1 Bedroom	X	-			
0X00004E	+1 Bedroom	X	-			
0X00004F	+1 Bedroom	X	-			
0X00009B	+1 Bedroom	X	-			
0X000094	+1 Bedroom	X	-			
0X000095	+1 Bedroom	X	-			
0X000055	+1 Bedroom	X	-			
0X00008D	+1 Bedroom	X	-			
0X000087	+1 Bedroom	X	-			
0X000006	+1 Bedroom	X	-			
1_000025	+1 Bedroom	X	-			
1_00001D	+1 Bedroom	X	-			
1_000024	+1 Bedroom	X	-			
1_000032	+1 Bedroom	X	-			
1_00002E	+1 Bedroom	X	-			
0X000085	+1 Bedroom	X	-			
1_000021	+1 Bedroom	X	-			
1_00001E	+1 Bedroom	X	-			
1_000031	+1 Bedroom	X	-			
1_000020	+1 Bedroom	X	-			
0X000012	+1 Bedroom	X	-			
0X000064	+1 Bedroom	X	-			
0X000066	+1 Bedroom	X	-			
0X00000F	+1 Bedroom	X	-			
0X000067	+1 Bedroom	X	-			
0X00007D	+1 Bedroom	X	-			
0X00000A	+1 Bedroom	X	-			
1_000023	+1 Bedroom	X	-			
1B00006D	+1 Bedroom	X	-			
1B00006C	+1 Bedroom	X	-			
1B00006A	+1 Bedroom	X	-			
0X00006D	+1 Bedroom	X	-			
0X00006E	+1 Bedroom	X	-			
0_000027	+1 Bedroom	X	-			
0X00001B	+1 Bedroom	X	-			
0X000054	+1 Bedroom	X	-			
0X000019	+1 Bedroom	X	-			
0X00001A	+1 Bedroom	X	-			
1C000009	+1 Circulation	X	-			
1C00000A	+1 Circulation	X	-			
1C000006	+1 Circulation	X	-			
0X00000D	+1 Circulation	X	-			
1_000039	+1 Circulation	X	-			
1_00003A	+1 Circulation	X	-			
0X000011	+1 Circulation	X	-			
1_00003C	+1 Circulation	X	-			
1C000001	+1 Circulation	X	-			
0X000015	+1 Circulation	X	-			
1C00000E	+1 Circulation	X	-			
0X00005C	+1 Elevator	X	-			
0X000016	+1 Elevator	X	-			
0X000038	+1 Elevator	X	-			
0X00008F	+1 Elevator	X	-			
0X000074	+1 Elevator	X	-			
0X00000B	+1 Kitchen	?	?			
0X000062	+1 Kitchen	?	?			
0X00005E	+1 Void	X	-			
0X000014	+1 Void	X	-			
0X0000C4	+1 Void	X	-			
1_000013	+1 Void	X	-			
1_000033	+1 Void	X	-			
1_00001A	+1 Void	X	-			
1_000014	+1 Void	X	-			
1_000019	+1 Void	X	-			
1_000018	+1 Void	X	-			
1_000000	+1 Void	X	-			
1_000035	+1 Void	X	-			
1_000036	+1 Void	X	-			
1_000037	+1 Void	X	-			
1_000038	+1 Void	X	-			
1_000010	+1 Void	X	-			
1_000012	+1 Void	X	-			
1_000016	+1 Void	X	-			
1_000017	+1 Void	X	-			
0X0000C5	+1 Void	X	-			
0X000093	+1 Void	X	-			
0X0000AF	+1 Void	X	-			
0X0000C6	+1 Void	X	-			
0X000005	+1 Void	X	-			
0X00001F	+1 Void	X	-			
0X000002	+1 Void	X	-			
0X0000C7	+1 Void	X	-			
0X000021	+1 Void	X	-			
0X000008	+1 Void	X	-			
0X000022	+1 Void	X	-			
0X00001C	+1 Void	X	-			
0X000024	+1 Void	X	-			
0X000023	+1 Void	X	-			
0X0000BB	+1 Void	X	-			
0X0000A8	+1 Void	X	-			
0X0000A9	+1 Void	X	-			
0X000097	+1 Void	X	-			
0X000076	+1 Void	X	-			
0X000026	+1 Void	X	-			
0X00002B	+1 Void	X	-			
0X000035	+1 Void	X	-			
0X0000CA	+1 Void	X	-			
0X000009	+1 Void	X	-			
0X0000A5	+1 Void	X	-			
0X00003B	+1 Void	X	-			
0X000096	+1 Void	X	-			
0X000000	+1 Void	X	-			
0X0000A2	+1 Void	X	-			
0X000013	+1 Void	X	-			
0X0000A1	+1 Void	X	-			
0X0000B9	+1 Void	X	-			
0X000045	+1 Void	X	-			
0X000092	+1 Void	X	-			
0X00005D	+1 Void	X	-			
0X0000CD	+1 Void	X	-			
0X0000BC	+1 Void	X	-			
0X00003C	+1 Void	X	-			
0X0000BE	+1 Void	X	-			
0X0000B7	+1 Void	X	-			
0X0000B8	+1 Void	X	-			
0X000099	+1 Void	X	-			
0X00005F	+1 Void	X	-			
0X0000C1	+1 Void	X	-			
0X0000B3	+1 Void	X	-			
0X00000C	+1 Void	X	-			
0X000073	+1 Void	X	-			
0X000071	+1 Void	X	-			
0X000047	+1 Void	X	-			
0X00006F	+1 Void	X	-			
0X000078	+1 Void	X	-			
0X000079	+1 Void	X	-			
0X00006C	+1 Void	X	-			
0X00007E	+1 Void	X	-			
0X00006A	+1 Void	X	-			
1V000004	+1 Void	X	-			
1V000001	+1 Void	X	-			
0X000020	+1 Void	X	-			
0X00007F	+1 Void	X	-			
0X000081	+1 Void	X	-			
0X0000CC	+1 Void	X	-			
1V000002	+1 Void	X	-			
0X00004A	+1 Void	X	-			
0X000044	+1 Void	X	-			
0X000065	+1 Void	X	-			
0X000086	+1 Void	X	-			
0X0000A0	+1 Void	X	-			
0X000060	+1 Void	X	-			
0X0000B1	+1 Void	X	-			
0X0000B2	+1 Void	X	-			
0X0000B0	+1 Void	X	-			
0X000089	+1 Void	X	-			
0X00005A	+1 Void	X	-			
0X00008A	+1 Void	X	-			
0X0000CE	+1 Void	X	-			
0X00000E	+1 Void	X	-			
0X00009F	+1 Void	X	-			
0X0000D0	+1 Void	X	-			
0X0000C3	+1 Void	X	-			
0X000004	+1 Void	X	-			
0X000053	+1 Void	X	-			
0X0000CF	+1 Void	X	-			
0X000017	+1 Void	X	-			
0X0000C9	+1 Void	X	-			
0X000049	+1 Void	X	-			
1B00000B	+2 Bathroom	X	-			
1B00000C	+2 Bathroom	X	-			
2B000004	+2 Bathroom	X	-			
1B00000D	+2 Bathroom	X	-			
2B000000	+2 Bathroom	X	-			
1B00000E	+2 Bathroom	X	-			
1B00000F	+2 Bathroom	X	-			
1B000010	+2 Bathroom	X	-			
1B000011	+2 Bathroom	X	-			
1B000012	+2 Bathroom	X	-			
1B000013	+2 Bathroom	X	-			
1B000014	+2 Bathroom	X	-			
1B000015	+2 Bathroom	X	-			
1B000016	+2 Bathroom	X	-			
1B000017	+2 Bathroom	X	-			
1B000018	+2 Bathroom	X	-			
1B000019	+2 Bathroom	X	-			
1B00001A	+2 Bathroom	X	-			
1B00001B	+2 Bathroom	X	-			
1B00001C	+2 Bathroom	X	-			
1B00001D	+2 Bathroom	X	-			
1B00001E	+2 Bathroom	X	-			
1B00001F	+2 Bathroom	X	-			
1B000020	+2 Bathroom	X	-			
1B000021	+2 Bathroom	X	-			
1B000023	+2 Bathroom	X	-			
1B000024	+2 Bathroom	X	-			
1B000025	+2 Bathroom	X	-			
1B000026	+2 Bathroom	X	-			
1B000027	+2 Bathroom	X	-			
1B000028	+2 Bathroom	X	-			
2_000028	+2 Bathroom	X	-			
1B000009	+2 Bathroom	X	-			
1B000008	+2 Bathroom	X	-			
1B000007	+2 Bathroom	X	-			
1B000006	+2 Bathroom	X	-			
1B000005	+2 Bathroom	X	-			
1B000004	+2 Bathroom	X	-			
1B000003	+2 Bathroom	X	-			
1B000002	+2 Bathroom	X	-			
1B000001	+2 Bathroom	X	-			
2B00000A	+2 Bathroom	X	-			
1B000000	+2 Bathroom	X	-			
2B00002C	+2 Bathroom	X	-			
2_000029	+2 Bathroom	X	-			
2B00001B	+2 Bathroom	X	-			
1B00000A	+2 Bathroom	X	-			
1B000039	+2 Bedroom	X	-			
1B00003A	+2 Bedroom	X	-			
1B00003B	+2 Bedroom	X	-			
1B00003C	+2 Bedroom	X	-			
1B00003D	+2 Bedroom	X	-			
1B00003E	+2 Bedroom	X	-			
1B00003F	+2 Bedroom	X	-			
1B000040	+2 Bedroom	X	-			
1B000041	+2 Bedroom	X	-			
1B000042	+2 Bedroom	X	-			
1B000043	+2 Bedroom	X	-			
1B000044	+2 Bedroom	X	-			
1B000045	+2 Bedroom	X	-			
1B000046	+2 Bedroom	X	-			
1B000047	+2 Bedroom	X	-			
1B000048	+2 Bedroom	X	-			
1B000049	+2 Bedroom	X	-			
1B00004A	+2 Bedroom	X	-			
1B00004B	+2 Bedroom	X	-			
1B00004C	+2 Bedroom	X	-			
1B00004D	+2 Bedroom	X	-			
2B000008	+2 Bedroom	X	-			
1B00004E	+2 Bedroom	X	-			
1B00004F	+2 Bedroom	X	-			
1B000050	+2 Bedroom	X	-			
1B000051	+2 Bedroom	X	-			
1B000052	+2 Bedroom	X	-			
1B000053	+2 Bedroom	X	-			
1B000054	+2 Bedroom	X	-			
1B000055	+2 Bedroom	X	-			
1B000056	+2 Bedroom	X	-			
1B000057	+2 Bedroom	X	-			
1B000058	+2 Bedroom	X	-			
2B000040	+2 Bedroom	X	-			
2_000011	+2 Bedroom	X	-			
2B00003F	+2 Bedroom	X	-			
1B00002F	+2 Bedroom	X	-			
2B000042	+2 Bedroom	X	-			
1B000031	+2 Bedroom	X	-			
1B000030	+2 Bedroom	X	-			
1B000032	+2 Bedroom	X	-			
1B00002E	+2 Bedroom	X	-			
1B00002D	+2 Bedroom	X	-			
1B00002C	+2 Bedroom	X	-			
1B00002B	+2 Bedroom	X	-			
1B00002A	+2 Bedroom	X	-			
1B000029	+2 Bedroom	X	-			
1B000033	+2 Bedroom	X	-			
1B000034	+2 Bedroom	X	-			
1B000035	+2 Bedroom	X	-			
1B000036	+2 Bedroom	X	-			
1B000037	+2 Bedroom	X	-			
1B000038	+2 Bedroom	X	-			
2B000001	+2 Bedroom	X	-			
1C000005	+2 Circulation	X	-			
2_00000B	+2 Circulation	X	-			
2C000008	+2 Circulation	X	-			
1C000004	+2 Circulation	X	-			
2C00000B	+2 Circulation	X	-			
2C000006	+2 Circulation	X	-			
2C000009	+2 Circulation	X	-			
1C000003	+2 Circulation	X	-			
2C000007	+2 Circulation	X	-			
2_000002	+2 Circulation	X	-			
1C000002	+2 Circulation	X	-			
2_000024	+2 Closet	X	-			
2_00001F	+2 Closet	X	-			
2_000021	+2 Closet	X	-			
2_000022	+2 Closet	X	-			
2_000023	+2 Closet	X	-			
2_000020	+2 Closet	X	-			
1K000000	+2 Kitchen	?	?			
1K000001	+2 Kitchen	?	?			
2_000000	+2 Void	X	-			
2_00001B	+2 Void	X	-			
2_000004	+2 Void	X	-			
2_000006	+2 Void	X	-			
2_000003	+2 Void	X	-			
2_00002A	+2 Void	X	-			
2_00001C	+2 Void	X	-			
2_000012	+2 Void	X	-			
2_00001D	+2 Void	X	-			
2V000002	+2 Void	X	-			
2V000007	+2 Void	X	-			
2V000001	+2 Void	X	-			
2V000006	+2 Void	X	-			
2V000000	+2 Void	X	-			
2V000004	+2 Void	X	-			
2V000003	+2 Void	X	-			
2V000005	+2 Void	X	-			
2_000005	+2 Void	X	-			
2_000001	+2 Void	X	-			
3L000017	+3 Bathroom	X	-			
3B000001	+3 Bathroom	X	-			
3L00001A	+3 Bathroom	X	-			
3L000018	+3 Bathroom	X	-			
3B00000A	+3 Bathroom	X	-			
3C000006	+3 Bathroom	X	-			
3C000004	+3 Bathroom	X	-			
3B00000C	+3 Bathroom	X	-			
3B00000B	+3 Bathroom	X	-			
3L000008	+3 Bathroom	X	-			
3B000004	+3 Bathroom	X	-			
3L000006	+3 Bathroom	X	-			
3B000002	+3 Bathroom	X	-			
2B000005	+3 Bathroom	X	-			
2B000026	+3 Bathroom	X	-			
3L00000C	+3 Bathroom	X	-			
3C000002	+3 Bathroom	X	-			
3B000014	+3 Bathroom	X	-			
3L00000E	+3 Bathroom	X	-			
3L000015	+3 Bathroom	X	-			
3L000012	+3 Bathroom	X	-			
2B000006	+3 Bathroom	X	-			
2B00000B	+3 Bathroom	X	-			
2B00000C	+3 Bathroom	X	-			
2B00000D	+3 Bathroom	X	-			
2B00000E	+3 Bathroom	X	-			
2B000010	+3 Bathroom	X	-			
2B000011	+3 Bathroom	X	-			
2B000025	+3 Bathroom	X	-			
2B000015	+3 Bathroom	X	-			
2B000017	+3 Bathroom	X	-			
2B000019	+3 Bathroom	X	-			
3L000019	+3 Bathroom	X	-			
2B000024	+3 Bathroom	X	-			
2B000012	+3 Bathroom	X	-			
2B000038	+3 Bedroom	X	-			
3B000000	+3 Bedroom	X	-			
2L00001E	+3 Bedroom	X	-			
3L000004	+3 Bedroom	X	-			
3B000008	+3 Bedroom	X	-			
2B000037	+3 Bedroom	X	-			
3B00000F	+3 Bedroom	X	-			
3B000005	+3 Bedroom	X	-			
3L000013	+3 Bedroom	X	-			
3B000011	+3 Bedroom	X	-			
3B000015	+3 Bedroom	X	-			
3B00000E	+3 Bedroom	X	-			
2B000034	+3 Bedroom	X	-			
3L000000	+3 Bedroom	X	-			
2B000031	+3 Bedroom	X	-			
2B00002F	+3 Bedroom	X	-			
2B00002E	+3 Bedroom	X	-			
2B00002B	+3 Bedroom	X	-			
2B00002A	+3 Bedroom	X	-			
2B000029	+3 Bedroom	X	-			
3B000003	+3 Bedroom	X	-			
3K000002	+3 Bedroom	X	-			
3L00000A	+3 Bedroom	X	-			
3L00000D	+3 Bedroom	X	-			
3L000011	+3 Bedroom	X	-			
3L00000F	+3 Bedroom	X	-			
3L000010	+3 Bedroom	X	-			
3B000013	+3 Bedroom	X	-			
3B000012	+3 Bedroom	X	-			
3K000001	+3 Bedroom	X	-			
2B00004D	+3 Bedroom	X	-			
3B000010	+3 Bedroom	X	-			
2B00004B	+3 Bedroom	X	-			
2B000044	+3 Bedroom	X	-			
3B000018	+3 Bedroom	X	-			
2B000043	+3 Bedroom	X	-			
2B000051	+3 Bedroom	X	-			
3B000016	+3 Bedroom	X	-			
3L000020	+3 Bedroom	X	-			
2B00003D	+3 Bedroom	X	-			
3B00001A	+3 Bedroom	X	-			
2B00004A	+3 Bedroom	X	-			
3B000006	+3 Bedroom	X	-			
3L00001D	+3 Bedroom	X	-			
3B000017	+3 Bedroom	X	-			
2L000015	+3 Bedroom	X	-			
2B000039	+3 Bedroom	X	-			
3L000003	+3 Bedroom	X	-			
2B00003A	+3 Bedroom	X	-			
2B000049	+3 Bedroom	X	-			
2C000004	+3 Circulation	X	-			
3C000000	+3 Circulation	X	-			
2C000002	+3 Circulation	X	-			
3C000009	+3 Circulation	X	-			
3C000001	+3 Circulation	X	-			
3L000016	+3 Void	X	-			
3B00000D	+3 Void	X	-			
3L000002	+3 Void	X	-			
1_000001	-1 Auxiliaryroom	X	-			
1_00000A	-1 Auxiliaryroom	X	-			
1_000006	-1 Auxiliaryroom	X	-			
1_000008	-1 Auxiliaryroom	X	-			
1_000005	-1 Auxiliaryroom	X	-			
1_00000C	-1 Auxiliaryroom	X	-			
1_000007	-1 Circulation	X	-			
1_000003	-1 Circulation	X	-			
1_000009	-1 Circulation	X	-			
1_00000B	-1 Circulation	X	-			
1_00000D	-1 Circulation	X	-			
1_000004	-1 Circulation	X	-			
1G000002	-1 Elevator	X	-			
1G00001B	-1 Garage	X	-			
1G000007	-1 Garage	X	-			
1G00000C	-1 Garage	X	-			
1G00001D	-1 Garage	X	-			
1G00001A	-1 Garage	X	-			
1G000013	-1 Garage	X	-			
1G000022	-1 Garage	X	-			
1G000023	-1 Garage	X	-			
1G00000B	-1 Garage	X	-			
1G000014	-1 Garage	X	-			
1G000019	-1 Garage	X	-			
1G000004	-1 Garage	X	-			
1_000011	-1 Garage	X	-			
1G000012	-1 Garage	X	-			
1G000000	-1 Garage	X	-			
1G000021	-1 Garage	X	-			
1G00000D	-1 Garage	X	-			
1G000020	-1 Garage	X	-			
1G00000F	-1 Garage	X	-			
1G000010	-1 Garage	X	-			
1G000008	-1 TechnicalRoom	X	-			
1G00001F	-1 TechnicalRoom	X	-			
1G000003	-1 TechnicalRoom	X	-			
1G000005	-1 TechnicalRoom	X	-			
1G000006	-1 TechnicalRoom	X	-			
1_00000E	-1 Technicalroom	X	-			
1_00000F	-1 Technicalroom	X	-			
1_000002	-1 Technicalroom	X	-			
1G000016	-1 TechnicalRoomDHC	X	-			
0L000009	+0 Bedroom	X	-			
0L000004	+0 Bedroom	X	-			
0L000001	+0 Bedroom	X	-			
0F000005	+0 Circulation interior	X	-			
0F000000	+0 Circulation interior	X	-			
0F000003	+0 Circulation interior	X	-			
0F000004	+0 Circulation interior	X	-			
0F000006	+0 Circulation interior	X	-			
0F00000D	+0 Circulation interior	X	-			
1L000005	+0 Circulation Internal	X	-			
1L00002F	+0 Circulation Internal	X	-			
0L00001E	+0 Circulation Internal	X	-			
0L00001F	+0 Circulation Internal	X	-			
1L000025	+0 Circulation Internal	X	-			
0L000021	+0 Circulation Internal	X	-			
1L000035	+0 Circulation Internal	X	-			
0L00000F	+0 Circulation Internal	X	-			
0L000024	+0 Circulation Internal	X	-			
1L000029	+0 Circulation Internal	X	-			
0L000038	+0 Circulation Internal	X	-			
0L000039	+0 Circulation Internal	X	-			
0L000016	+0 Circulation Internal	X	-			
0L000026	+0 Circulation Internal	X	-			
0C00000C	+0 Circulation Internal	X	-			
0L000028	+0 Circulation Internal	X	-			
1L00002E	+0 Circulation Internal	X	-			
0L000011	+0 Circulation Internal	X	-			
1L000033	+0 Circulation Internal	X	-			
1L000022	+0 Circulation Internal	X	-			
0L00002C	+0 Circulation Internal	X	-			
0L00000C	+0 Circulation Internal	X	-			
0_000000	+0 Kitchen	?	?			
0L00000B	+0 Kitchen	?	?			
0_000016	+0 Kitchen	?	?			
0L00002F	+0 Kitchen	?	?			
0L000030	+0 Kitchen	?	?			
0_000017	+0 Kitchen	?	?			
0L000029	+0 Kitchen	?	?			
0L00000A	+0 Kitchen	?	?			
0L000032	+0 Kitchen	?	?			
0L000027	+0 Kitchen	?	?			
0L000015	+0 Kitchen	?	?			
0L00003A	+0 Kitchen	?	?			
0_000018	+0 Kitchen	?	?			
0F000002	+0 Kitchen	?	?			
0L000036	+0 Kitchen	?	?			
1L000023	+0 Kitchen	?	?			
1L00002A	+0 Kitchen	?	?			
0L000035	+0 Kitchen	?	?			
1L000003	+0 Kitchen	?	?			
0F000001	+0 Kitchen	?	?			
0L000018	+0 Kitchen	?	?			
1L00002B	+0 Kitchen	?	?			
0L00001A	+0 Kitchen	?	?			
0L00001C	+0 Kitchen	?	?			
0L00002B	+0 Kitchen	?	?			
0L00001B	+0 Living room	?	?			
0L00001D	+0 Living room	?	?			
0L000019	+0 Living room	?	?			
0L000020	+0 Living room	?	?			
0L000022	+0 Living room	?	?			
0L000017	+0 Living room	?	?			
0L000023	+0 Living room	?	?			
0L000025	+0 Living room	?	?			
0L000002	+0 Living room	?	?			
0L000014	+0 Living room	?	?			
0L000013	+0 Living room	?	?			
0L000006	+0 Living room	?	?			
0L00002A	+0 Living room	?	?			
0L00002D	+0 Living Room	?	?			
0L00002E	+0 Living room	?	?			
0L000031	+0 Living room	?	?			
0L00000D	+0 Living room	?	?			
0L000037	+0 Living room	?	?			
0L000034	+0 Living room	?	?			
0F00000C	+0 Living Room	?	?			
0F000008	+0 Living Room	?	?			
0L000012	+0 Living Room	?	?			
0F000009	+0 Living Room	?	?			
0L000033	+0 Living room	?	?			
0F00000A	+0 Living Room	?	?			
0F00000B	+0 Living Room	?	?			
0F000007	+0 Living Room	?	?			
1L00002D	+1 Circulation Interior	X	-			
0X0000A6	+1 Circulation Interior	X	-			
0X000083	+1 Circulation Interior	X	-			
1L000024	+1 Circulation Interior	X	-			
1L000037	+1 Circulation Interior	X	-			
1L000039	+1 Circulation Interior	X	-			
1L00003A	+1 Circulation Interior	X	-			
1L00001D	+1 Circulation Interior	X	-			
1L000002	+1 Circulation Interior	X	-			
1L00003D	+1 Circulation Interior	X	-			
0X00008C	+1 Circulation Interior	X	-			
1L00003F	+1 Circulation Interior	X	-			
0X0000B4	+1 Circulation Interior	X	-			
0X000027	+1 Circulation Interior	X	-			
0X000056	+1 Circulation Interior	X	-			
0X0000CB	+1 Circulation Interior	X	-			
1L000044	+1 Circulation Interior	X	-			
1L000055	+1 Circulation Interior	X	-			
1L000046	+1 Circulation Interior	X	-			
1L000053	+1 Circulation Interior	X	-			
1L000047	+1 Circulation Interior	X	-			
